,time,open,high,low,close,volume,ticker
761,2017-01-24,27810,28320,27810,27810,17900,IMP
762,2017-01-25,27460,28570,27460,28530,26370,IMP
763,2017-02-02,28530,28570,28070,28320,14270,IMP
764,2017-02-03,28320,28380,28120,28380,13110,IMP
765,2017-02-06,28480,28570,28270,28570,12390,IMP
766,2017-02-07,28570,30010,28570,29910,31520,IMP
767,2017-02-08,30110,30870,30010,30570,38010,IMP
768,2017-02-09,31130,31130,30260,30570,27440,IMP
769,2017-02-10,30210,30520,29850,30110,6720,IMP
770,2017-02-13,29850,30620,29340,30620,27130,IMP
771,2017-02-14,30110,30620,30010,30110,34470,IMP
772,2017-02-15,30370,30370,29850,30110,39070,IMP
773,2017-02-16,30110,30210,29910,29910,49710,IMP
774,2017-02-17,29910,30370,29600,30370,5330,IMP
775,2017-02-20,30370,30370,29910,29910,17610,IMP
776,2017-02-21,29910,29910,29600,29650,21130,IMP
777,2017-02-22,29850,29850,29340,29600,14690,IMP
778,2017-02-23,29600,29600,29600,29600,7430,IMP
779,2017-02-24,29600,29800,29090,29600,15860,IMP
780,2017-02-27,29600,29600,28840,29090,24960,IMP
781,2017-02-28,28570,29550,28570,29550,8010,IMP
782,2017-03-01,29090,29090,28840,29090,860,IMP
783,2017-03-02,29090,29390,29090,29390,11520,IMP
784,2017-03-03,29390,29390,29090,29240,7360,IMP
785,2017-03-06,29340,29340,28990,29240,11340,IMP
786,2017-03-07,29030,29240,28990,29240,16470,IMP
787,2017-03-08,29340,30930,29240,30870,144850,IMP
788,2017-03-09,31080,31080,30620,30620,30560,IMP
789,2017-03-10,30620,30720,30620,30620,18580,IMP
790,2017-03-13,30370,30830,29600,30620,32880,IMP
791,2017-03-14,30620,31390,30370,31130,46920,IMP
792,2017-03-15,31590,31590,30670,30720,9600,IMP
793,2017-03-16,30770,31020,30370,30720,22400,IMP
794,2017-03-17,31130,31130,30210,30870,15960,IMP
795,2017-03-20,31390,31390,30870,31330,34660,IMP
796,2017-03-21,30720,31130,30720,31130,12580,IMP
797,2017-03-22,30620,31130,30060,30620,21470,IMP
798,2017-03-23,29850,30830,29850,30720,156550,IMP
799,2017-03-24,31640,31640,31020,31020,19510,IMP
800,2017-03-27,31480,31640,31020,31590,106110,IMP
801,2017-03-28,31900,31900,31390,31540,18740,IMP
